seed,pair_id,sentence1,sentence2,ppl1,ppl2,lower_ppl,ppl_difference
456,8,ఇంటికి వెళ్ళాను,ఇంటిలో వెళ్ళాను,79.11666372394636,790.389139543998,sentence1,711.2724758200517
456,9,తీసుకొని వచ్చాడు,తీసుకొని వెళ్ళాడు,291247.9253347347,154987.4454853039,sentence2,136260.47984943082
456,10,చదువుతున్నాను,చదివాను,196909.45951939374,252.6525749969093,sentence2,196656.80694439684
789,1,అతను వెళ్ళాడు,అతను వెళ్ళారు,302926.18184670474,5038318.005220153,sentence1,4735391.823373449
789,2,ఆమె వచ్చింది,ఆమె వచ్చాడు,381015.5527886095,17421204.992874,sentence1,17040189.440085392
789,3,నేను తింటున్నాను,నేను తిన్నాను,327.6084337226156,547.0194543728423,sentence1,219.41102065022676
789,4,రాముడు పుస్తకం చదివాడు,రాముడు పుస్తకాన్ని చదివాడు,2428.031302298599,5123.556173406148,sentence1,2695.5248711075496
789,5,నేను వెళ్ళాను,నేను వెళ్ళలేదు,426.803621711851,1144.140458916567,sentence1,717.336837204716
789,6,నీవు వస్తావా,నీవు వస్తావు,2612.6908052478307,3958.9281544706187,sentence1,1346.237349222788
789,7,మీరు రండి,నువ్వు రండి,46726.093230653925,6171.3362745706245,sentence2,40554.7569560833
789,8,ఇంటికి వెళ్ళాను,ఇంటిలో వెళ్ళాను,147.22842923618558,1297.9414075811783,sentence1,1150.7129783449927
789,9,తీసుకొని వచ్చాడు,తీసుకొని వెళ్ళాడు,21840.219581072677,42343.01413904456,sentence1,20502.79455797188
789,10,చదువుతున్నాను,చదివాను,22761.796589873236,73.15598600169753,sentence2,22688.64060387154
1011,1,అతను వెళ్ళాడు,అతను వెళ్ళారు,180105.2038308503,1653126.8788196163,sentence1,1473021.674988766
1011,2,ఆమె వచ్చింది,ఆమె వచ్చాడు,1773681.5648004627,21169429.51762301,sentence1,19395747.952822547
1011,3,నేను తింటున్నాను,నేను తిన్నాను,223.14656725540033,432.84708032799745,sentence1,209.70051307259712
1011,4,రాముడు పుస్తకం చదివాడు,రాముడు పుస్తకాన్ని చదివాడు,3952.040039411938,12325.504909446272,sentence1,8373.464870034335
1011,5,నేను వెళ్ళాను,నేను వెళ్ళలేదు,179.07192357270185,1577.3154745945717,sentence1,1398.2435510218697
1011,6,నీవు వస్తావా,నీవు వస్తావు,1039.0202468619223,1472.0807619494035,sentence1,433.06051508748124
1011,7,మీరు రండి,నువ్వు రండి,5206.7275754435705,6845.210914458329,sentence1,1638.4833390147587
1011,8,ఇంటికి వెళ్ళాను,ఇంటిలో వెళ్ళాను,75.14434027095898,981.3969842855471,sentence1,906.2526440145881
1011,9,తీసుకొని వచ్చాడు,తీసుకొని వెళ్ళాడు,24920.17793433838,59198.261917386975,sentence1,34278.08398304859
1011,10,చదువుతున్నాను,చదివాను,43696.54260985903,84.62433994662157,sentence2,43611.918269912414
2024,1,అతను వెళ్ళాడు,అతను వెళ్ళారు,373598.29883418384,15011087.033125415,sentence1,14637488.734291231
2024,2,ఆమె వచ్చింది,ఆమె వచ్చాడు,131132.20556693614,3192568.9980075406,sentence1,3061436.7924406044
2024,3,నేను తింటున్నాను,నేను తిన్నాను,298.091240626365,263.1126440549452,sentence2,34.978596571419814
2024,4,రాముడు పుస్తకం చదివాడు,రాముడు పుస్తకాన్ని చదివాడు,1848.9103449100298,9453.492403641325,sentence1,7604.582058731296
2024,5,నేను వెళ్ళాను,నేను వెళ్ళలేదు,542.2428162180724,2573.2385794783845,sentence1,2030.995763260312
2024,6,నీవు వస్తావా,నీవు వస్తావు,1580.0646194323,1945.4152772333937,sentence1,365.3506578010936
2024,7,మీరు రండి,నువ్వు రండి,35030.85380533094,14322.496384464104,sentence2,20708.357420866836
2024,8,ఇంటికి వెళ్ళాను,ఇంటిలో వెళ్ళాను,100.42744819789698,1239.6842629360315,sentence1,1139.2568147381344
2024,9,తీసుకొని వచ్చాడు,తీసుకొని వెళ్ళాడు,33658.655910286994,24723.4887728955,sentence2,8935.167137391494
2024,10,చదువుతున్నాను,చదివాను,28523.726141394807,155.79782744742207,sentence2,28367.928313947385
3035,1,అతను వెళ్ళాడు,అతను వెళ్ళారు,255577.89148852346,10514344.625508532,sentence1,10258766.734020008
3035,2,ఆమె వచ్చింది,ఆమె వచ్చాడు,153319.6076757545,2123341.2610104075,sentence1,1970021.653334653
3035,3,నేను తింటున్నాను,నేను తిన్నాను,219.6664693870666,711.8208546083994,sentence1,492.15438522133275
3035,4,రాముడు పుస్తకం చదివాడు,రాముడు పుస్తకాన్ని చదివాడు,2593.1894985392573,5859.404079660449,sentence1,3266.2145811211913
3035,5,నేను వెళ్ళాను,నేను వెళ్ళలేదు,192.8126952685387,2664.434949726795,sentence1,2471.622254458256
3035,6,నీవు వస్తావా,నీవు వస్తావు,1578.2235478994667,2500.857572075311,sentence1,922.6340241758444
3035,7,మీరు రండి,నువ్వు రండి,18268.803078428315,9638.383088271346,sentence2,8630.419990156968
3035,8,ఇంటికి వెళ్ళాను,ఇంటిలో వెళ్ళాను,145.04023747698184,841.5225434609699,sentence1,696.4823059839881
3035,9,తీసుకొని వచ్చాడు,తీసుకొని వెళ్ళాడు,27172.143353013067,60907.859445484195,sentence1,33735.71609247113
3035,10,చదువుతున్నాను,చదివాను,28138.07073856339,75.51845473306709,sentence2,28062.552283830322
4046,1,అతను వెళ్ళాడు,అతను వెళ్ళారు,232191.35478321096,13567777.482289908,sentence1,13335586.127506698
4046,2,ఆమె వచ్చింది,ఆమె వచ్చాడు,338787.2451770113,25194041.40927992,sentence1,24855254.16410291
4046,3,నేను తింటున్నాను,నేను తిన్నాను,156.96377004104994,175.1812365482203,sentence1,18.21746650717037
4046,4,రాముడు పుస్తకం చదివాడు,రాముడు పుస్తకాన్ని చదివాడు,2341.557592551968,4335.50242029216,sentence1,1993.9448277401925
4046,5,నేను వెళ్ళాను,నేను వెళ్ళలేదు,374.9521221896535,2601.0322732839654,sentence1,2226.080151094312
4046,6,నీవు వస్తావా,నీవు వస్తావు,1214.5964121414268,1485.1000730149503,sentence1,270.5036608735236
4046,7,మీరు రండి,నువ్వు రండి,15790.15485515237,3405.257071975641,sentence2,12384.89778317673
4046,8,ఇంటికి వెళ్ళాను,ఇంటిలో వెళ్ళాను,100.3906773013049,1011.447222588467,sentence1,911.0565452871621
4046,9,తీసుకొని వచ్చాడు,తీసుకొని వెళ్ళాడు,8197.427781439417,7631.492243920442,sentence2,565.9355375189753
4046,10,చదువుతున్నాను,చదివాను,61060.5268949284,230.27885794266686,sentence2,60830.24803698574
5057,1,అతను వెళ్ళాడు,అతను వెళ్ళారు,296705.7815036753,2487046.3736138484,sentence1,2190340.592110173
5057,2,ఆమె వచ్చింది,ఆమె వచ్చాడు,2238227.5526610916,12894145.583032526,sentence1,10655918.030371435
5057,3,నేను తింటున్నాను,నేను తిన్నాను,172.98063391404216,309.369590462588,sentence1,136.38895654854585
5057,4,రాముడు పుస్తకం చదివాడు,రాముడు పుస్తకాన్ని చదివాడు,937.6373793335333,1468.3259530930375,sentence1,530.6885737595042
5057,5,నేను వెళ్ళాను,నేను వెళ్ళలేదు,153.50569379315655,1526.2722024634331,sentence1,1372.7665086702766
5057,6,నీవు వస్తావా,నీవు వస్తావు,1447.5178393209649,1625.488633994393,sentence1,177.97079467342814
5057,7,మీరు రండి,నువ్వు రండి,30549.00523927538,6514.998497329674,sentence2,24034.006741945705
5057,8,ఇంటికి వెళ్ళాను,ఇంటిలో వెళ్ళాను,119.3008148126238,1386.70195647081,sentence1,1267.4011416581861
5057,9,తీసుకొని వచ్చాడు,తీసుకొని వెళ్ళాడు,11349.265877873342,37199.64611888218,sentence1,25850.380241008836
5057,10,చదువుతున్నాను,చదివాను,41989.22448398902,86.58060093326327,sentence2,41902.64388305575
6068,1,అతను వెళ్ళాడు,అతను వెళ్ళారు,182046.36345155572,8052361.064849909,sentence1,7870314.701398354
6068,2,ఆమె వచ్చింది,ఆమె వచ్చాడు,933676.5020644222,26832015.85005986,sentence1,25898339.347995438
6068,3,నేను తింటున్నాను,నేను తిన్నాను,263.912799562573,371.66629921081795,sentence1,107.75349964824494
6068,4,రాముడు పుస్తకం చదివాడు,రాముడు పుస్తకాన్ని చదివాడు,3527.3277795321837,4571.231480199737,sentence1,1043.9037006675535
6068,5,నేను వెళ్ళాను,నేను వెళ్ళలేదు,146.50933654433925,1296.244238182775,sentence1,1149.7349016384358
6068,6,నీవు వస్తావా,నీవు వస్తావు,3003.704796682292,5031.33361934575,sentence1,2027.6288226634579
6068,7,మీరు రండి,నువ్వు రండి,18795.692126371676,19442.40366516204,sentence1,646.711538790365
6068,8,ఇంటికి వెళ్ళాను,ఇంటిలో వెళ్ళాను,39.45339552825823,439.53954558282817,sentence1,400.08615005456994
6068,9,తీసుకొని వచ్చాడు,తీసుకొని వెళ్ళాడు,19145.97945548454,37521.59558264181,sentence1,18375.616127157267
6068,10,చదువుతున్నాను,చదివాను,38919.10616453089,318.8349943500264,sentence2,38600.27117018086
